id,name,category,parent_id,summary,url,location,careers_url,scale_value,scale_unit,last_updated
bmsh,Bristol Myers Squibb Generation Park,industry,,"(OPENING 2030) Manufacturing campus supporting domestic small molecules, biologics, and antibody-drug conjugates production",https://news.bms.com/news/corporate-financial/2026/Bristol-Myers-Squibb-Advances-U-S--Manufacturing-Investment-with-New-2-3-Billion-Campus-in-Houston-Texas/default.aspx,,,,,8/20/2026
eli,Eli Lilly Generation Park,industry,,"(OPENING 2030) Manufacturing facility for small molecules in cardiometabolic health, oncology, immunology and neuroscience",https://investor.lilly.com/news-releases/news-release-details/lilly-plans-build-new-65-billion-facility-manufacture-active,,,,,8/5/2026
lonza,Lonza Pearland,industry,,Large-scale cell and gene therapy manufacturing facility.,https://lonza.com,,https://lonza.talent-community.com/talent-community,,,8/4/2026
vgxi,VGXI,industry,,Contract Development and Manufacturing Organization specializing in the production of plasmid DNA products under cGMP conditions,https://vgxii.com/services/,,https://vgxii.com/about/careers-at-vgxi/,,,8/7/2026
abbot,Abbott,industry,,"Houston branch of a Fortune 500 diversified multinational healthcare company (diagnostics, devices, nutrition, pharma); ",https://www.jobs.abbott/us/en/,,https://www.jobs.abbott/us/en/search-results?keywords=houston,,,8/20/2026
ingen,InGeneron,industry,,"Leading clinical stage biotech company developing cell-based regenerative medicine, approved for use in the EU",https://ingeneron.com/,,https://ingeneron.com/careers/,,,8/21/2026
omni,OmniScience,industry,,AI-integrated digital company offering software to unify and simplify clinical trial recordkeeping and documentation. ,https://www.omniscience.bio/,,,,,8/21/2026
ctex,Celltex Therapeutics,industry,,MSC banking company which partners with hospitals in Mexico to allow American patients to access stem cell therapy,https://celltexbank.com/,,https://celltexbank.com/careers/,,,8/5/2026
koda,Koda Health,industry,,Commercial cloud-based advance care planning platform,https://www.kodahealthcare.com/,,,,,8/5/2026
soter,Soter Bio,industry,,Contract development and manufacturing organization specializing in RNA and RNA LNP manufacturing. ,https://soter-bio.com/,,,,,8/7/2026
celli,Cellipont Bioservices,industry,,Cell therapy CDMOspecializing in cell bank creation and manufacturing,https://cellipont.com/,,https://cellipont.isolvedhire.com/jobs/,,,8/7/2026
cast,Castle Biosciences,industry,,"Biotech company HQ'ed in Friendswood offering personalized prognostic and diagnostic tests for dermatological, pthamalogical, and gastoinstestinal malignancies",https://www.castlebiosciences.com/,,https://www.castlebiosciences.com/company/careers,,,8/21/2026
intgen,IntelliGenome,industry,,Company selling and developing CRIPSR-based diagnostic platforms for infectious disease,https://intelligenome-us.com/home,,https://intelligenome-us.com/careers,,,8/21/2026
millar,Millar,industry,,Tech company developing and selling multiple sensors for medical device integration,https://www.millar.com/,,https://www.hralliance.net/Apply/FindPosition.aspx?slocationId=4622&sjobId=&search=Search,,,8/21/2026
prox,Proxima,industry,,"Life science consulting company  offering regulatory, clinical, and quality/manufacturing assessments",https://www.proximacro.com/,,https://www.proximacro.com/company/careers,,,8/20/2026
mic,Medical Informatics Corp,industry,,Maker of the Sickbay platform for real-time patient monitoring and predictive analytics across hospital waveform data.,www.medicalinformaticscorp.com,,,,,8/5/2026
hope,Hope Biosciences,industry,,Biopharmaceutical company developing adult stem cell based therapeutics and stem cell banking for both infants and newborns,https://www.hope.bio,,https://www.hope.bio/careers,,,8/21/2026
nurix,Nurix Therapeutics,industry,,Clinical-stage biotech spinout from UC Berkeley and UC San Francisco using AI-enabled drug discovery to develop protein degredation therapeutics,https://www.nurixtx.com/,,https://www.nurixtx.com/explore-jobs/,,,8/5/2026
clari,Clarium,industry,,AI-enabled hospital supply chain platform,https://www.clariumhealth.com/,,https://jobs.ashbyhq.com/clarium,,,8/5/2026
rbl,Rice Biotech Launch Pad,accelerator,rice,Moves early research into clinical-stage companies in roughly three years.,https://rbl.bio,,,,,8/4/2026
nuclta,Nucleate Texas Activator,accelerator,nuclt,Annual accelerator matching student-scientists and buisness trainees to generate new biotech companies (see local chapter webpage/linkedin for start date(s)),https://nucleate.org/activator/,,,,,8/5/2026
reach,GCC REACH,accelerator,,NIH funded accelerator accepting healthcare technology innovators from any Texas academic institution on a rolling basis,https://www.gccreach.org/,,,,,8/7/2026
tmcact,TMC Accelerator for Cancer Therapeutics,accelerator,tmc,Annual accelerator dedicated to cancer therapeutic development from academic investigators to early-stage biotech companies.,https://www.tmc.edu/innovation/therapeutic-labs-tmc/accelerator-cancer/,,,,,8/5/2026
tmcv,TMC Venture Fund,funding,tmc,"$75M fund spanning digital health, medical devices and therpeutics",https://tmcventurefund.com/,,https://tmcventurefund.com/careers/,,,8/5/2026
portal,Portal Innovation,funding,,"National venture development platform providing seed capital, lab space and industrial expertise for life science startups",https://www.portalinnovations.com/,,,,,8/7/2026
han,Houston Angel Network,funding,,Nonprofit organization of investors supporting agnostic early stage companies developing innovative products,https://www.houstonangelnetwork.org/,,,,,8/7/2026
dprit,Dementia Prevention Research Institute of Texas,funding,,Texas state fund directing billions toward translational dementia research.,https://mmhpi.org/dprit/,,,,,8/5/2026
cprit,Cancer Prevention Research Institute of Texas,funding,,Texas state fund directing billions toward translational cancer research.,https://cprit.texas.gov,,,,,8/4/2026
tmci,TMC Innovation,support,tmc,Branch of the TMC dedicated to increasing the quality and quantity of healthcare startup density in Houston,https://www.tmc.edu/innovation/,,,,,8/4/2026
bioh,BioHouston,support,,Nonprofit founded 2000; convenes and connects the life science community.,https://biohouston.org,,,,,8/4/2026
chf,Center for Houston's Future,support,,"Nonprofit uniting  business, government, and community stakeholders to advance the region's success. ",https://www.futurehouston.org/,,,,,8/7/2026
ghp,Greater Houston Partnership,support,,Regional economic development org; publishes ecosystem stats and reports.,https://houston.org,,,,,8/4/2026
gcc,Gulf Coast Consortia,support,,Inter-institutional cooperative of biomedical research institutes in the Houston/Galveston area,https://www.gulfcoastconsortia.org,,https://jobs.gulfcoastconsortia.org/index.cfm?fa=main.PublicLogin,,,8/4/2026
tmc,Texas Medical Center,support,,Umbrella organization for the world's largest medical complex; member institutions operate independently.,https://tmc.edu,,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=a6d38625-b5ce-451b-b4b6-a889d906111a&ccId=19000101_000001&lang=en_US,,,8/4/2026
nuclt,Nucleate Texas,support,,Local chapter of a student-led organization supporting biotech entreprenuership,https://nucleate.org/,,,,,8/5/2026
env,Enventure,support,,"Houston nonprofit providing business model development, clinical strategy, and regulation compliance consulting for local biotech startups",https://enventure.org,,https://enventure.org/apply,,,8/7/2026
metis,Project Metis,support,,Shared initiative to position the Houston/Galveston region as a global leader in brain health. ,https://braincapitalhtx.com/,,,,,8/7/2026
coya,Coya Therapeutics,startup,,Clinical-stage biotechnology company developing biologics intended to enhance regulatory T cell (Treg) function,https://coyatherapeutics.com,,,,,8/4/2026
pstv,Cerenome,startup,,"Early commercial CNS oncology company combining diagnostic, therapeutic, and AI technologies into an integrated CNS oncology platform",https://cerenome.com/,,,,,8/5/2026
corin,CorInnova,startup,,"Preclinical medtech developing a non-blood-contacting, soft-robotic cardiac assist device",https://www.corinnova.com/,,,,,8/5/2026
oxia,Oxia Therapeutics,startup,,Preclinical platform targeting steroid receptor coactivators to decrease tissue injury and preserve organ function across multiple disease areas,https://www.oxia.bio/,,https://www.oxia.bio/careers,,,8/5/2026
allev,Alleviant Medical,startup,,Developing a minimally-invasive transcatheter device to relieve congestive heart failure symptoms and reduce hospital readmissions.,alleviantmedical.com,,,,,8/5/2026
xbrdg,CrossBridge Bio,startup,,Oncology company developing dual-payload antibody-drug conjugates; aquired by Eli Lilly 2026,crossbridgebio.com,,,,,8/5/2026
hhbox,Hamilton Health Box,startup,,"Prefabricated ""microclinic"" primary/urgent care facilities for underserved workplaces and rural communities.",hamiltonhealthbox.com,,https://www.hamiltonhealthbox.com/careers,,,8/5/2026
ictero,Ictero Medical,startup,,Preclinical medtech developing the CholeSafe catheter-based cryoablation system as a non-surgical treatment for high-risk gallstone patients.,icteromedical.com,,,,,8/5/2026
intim,Intelligent Implants,startup,,"Preclinical medtech developing a wireless, battery-free spinal implant that delivers electrical stimulation and monitors bone healing after spinal fusion.",https://intelligentimplants.ie,,,,,8/5/2026
march,March Biosciences,startup,,Clinical stage cell therapy company targeting lymphoma/leukemia.,march.bio,,https://www.linkedin.com/company/march-biosciences/jobs/,,,8/5/2026
motif,Motif Neurotech,startup,,Preclinical medtech developing miniature wireless-powered implants for neural tissue stimulation and diagnostic readings.,motifneuro.com,,https://motifneuro.tech/careers#join_team,,,8/5/2026
prana,Prana Surgical,startup,,"Late stage clinical medtech developing an image-guided, minimally invasive electrosurgical system for early lung cancer intervention.",pranasurgical.com,,,,,8/5/2026
vivif,Vivifi Medical,startup,,Early clinical stage medtech developing suture-less laparoscopic technology to connect two vessels for treatment of varicocele and men's health conditions.,https://www.vivifimedical.com/,,https://www.vivifimedical.com/careers#careers-list,,,8/5/2026
noniv,Noninvasix,startup,,Preclinical medtech developing non-invasive optical monitors (LIVOx) for real-time brain and central venous oxygenation,https://noninvasix.com/,,,,,8/7/2026
iter,Iterion Therapeutics,startup,,Clinical stage biopharmaceutical focused on targeting wnt for cancer therapy,https://iteriontherapeutics.com/,,,,,8/7/2026
pela,Pelagos Pharmaceuticals,startup,,Preclinical small molecules targeting exercize-associated markers for diseases of aging,https://pelagospharma.com/,,,,,8/7/2026
radio,RadioMedix,startup,,Clinical stage radiopharmaceutical oncology company developing targeted alpha and beta therapies as well as diagnostic imaging agents ,https://radiomedix.com/,,https://radiomedix.com/careers/,,,8/20/2026
immat,Immatics,startup,,"Clinical stage startup partnership between the University of Tübingen, Germany and MD Anderson in Houston developing adoptive cell therapies for cancer.",https://immatics.com/,,https://immatics.wd3.myworkdayjobs.com/immatics_us,,,8/21/2026
mark,Marker Therapeutics,startup,,Clinical stage biopharmaceutical company developing novel T-cell therapies for cancer,markertherapeutics.com,,https://markertherapeutics.com/our-company/careers/,,,8/21/2026
molec,Moleculin,startup,,Late clinical stage developing new formulations of anthracyclines for cancer treatment,https://moleculin.com/,,,,,
